Roll (deg),Pitch (deg),Heading (deg),Yaw (deg),Yaw Rate (deg/s),Velocity (m/s),Steering Angle (deg),Relative Altitude (m),Altitude AMSL (m),Altitude Tuning,Altitude Tuning Setpoint,X-Track Error (m),Travelled Distance (m),Run Time,Distance To Home (m),Mission Index,Heading To Next WP (deg),Heading To Home (deg),Distance To GCS (m),Throttle (%),Hobbs,Clock Time,Clock Date,GPS Latitude,GPS Longitude,GPS MGRS,GPS HDOP,GPS VDOP,GPS Course,Satellite Locks,Satellite Count,Longitudinal Position (m),Lateral Position (m),Vertical Position (m),Longitudinal Velocity (m/s),Absolute Longitudinal Velocity (m/s),Lateral Velocity (m/s),Absolute Lateral Velocity (m/s),Vertical Velocity (m/s),Temperature (F),Longitudinal Vibration,Lateral Vibration,Vertical Vibration,Data Type,EKF Detector
2.6,1.8,68,-112,0,0.4,-75.20323775,0.4,762.4,-0.37,0.66,-2.12,8608.4,0:05:42,6.1,2,356,173,,0,15:03:55,11:01:40,5/24/2022,32.2311427,-110.90794,12SWA 08673 66060,1.1,1.7,86.7,3,8,16.5,-1.7,-0.3,-0.4,0.4,-0.1,0.1,0,112.98,0,0,0,0,0
2.5,1.9,68,-112,0,0.4,-75.20323775,0.3,762.3,-0.45,0.66,-2.12,8608.4,0:05:43,6,2,356,173,,0,15:03:55,11:01:41,5/24/2022,32.2311421,-110.9079395,12SWA 08673 66060,1.1,1.7,86.7,3,8,16.4,-1.6,-0.2,-0.4,0.4,-0.1,0.1,0,113,0,0,0,0,0
2.5,1.8,68,-112,0,0.3,-75.20323775,0.3,762.3,-0.51,0.66,-2.12,8608.4,0:05:44,6,2,356,174,,0,15:03:55,11:01:42,5/24/2022,32.2311397,-110.9079385,12SWA 08673 66059,1.1,1.7,86.7,3,8,16.3,-1.6,-0.2,-0.3,0.3,-0.1,0.1,0.1,113,0,0,0,0,0
2.5,1.9,69,-111,1,0.2,-44.01134263,0.2,762.2,-0.57,-0.55,-0.541,8608.4,0:05:45,5.9,2,356,175,,42,15:03:55,11:01:43,5/24/2022,32.2311388,-110.9079375,12SWA 08673 66059,1.1,1.7,86.7,3,8,16.3,-1.5,-0.1,-0.3,0.3,0,0,0.1,113,1.1,0.3,0.6,0,0
2.2,2.1,16,-164,-53,1.2,19.01614609,0.2,762.2,-0.54,-0.56,0.193,8610.5,0:05:46,7,2,356,182,,29,15:03:55,11:01:44,5/24/2022,32.2311437,-110.9079314,12SWA 08674 66060,1.1,1.7,69.2,3,8,17.4,-0.7,-0.1,1.2,1.2,0,0,0,113.02,2.8,1.1,2.6,0,0
-1.9,1.4,357,177,341,1.2,6.72170912,0.3,762.3,-0.5,-0.5,0.066,8610.5,0:05:47,8.2,2,356,180,,26,15:03:55,11:01:45,5/24/2022,32.2311573,-110.9079327,12SWA 08674 66061,1.1,1.7,346.1,3,8,18.5,-1,-0.2,1.1,1.1,-0.2,0.2,0.1,113.04,1.7,1.2,2,0,0
-0.8,2.4,2,-178,-355,1,-21.88955677,0.3,762.3,-0.51,-0.5,-0.225,8612.6,0:05:48,9,2,356,178,,28,15:03:55,11:01:46,5/24/2022,32.2311627,-110.9079354,12SWA 08674 66062,1.1,1.7,350.3,3,8,19.3,-1.3,-0.2,1,1,0,0,0.2,113.04,1.1,1.3,2.2,0,0
1.1,4.1,5,-175,3,1,-45.15306049,0.2,762.2,-0.59,-0.56,-0.563,8612.6,0:05:49,10,2,356,177,,28,15:03:55,11:01:47,5/24/2022,32.2311776,-110.9079376,12SWA 08673 66064,1.1,1.7,346,3,8,20.4,-1.5,-0.1,1,1,0,0,0,113.04,1.5,0.8,2.3,0,0
-2.2,3.3,6,-174,1,1,-55.14211683,0.1,762.1,-0.67,-0.67,-0.804,8614.7,0:05:50,11.2,2,356,177,,27,15:03:55,11:01:48,5/24/2022,32.231195,-110.9079388,12SWA 08673 66066,1.1,1.7,349.1,3,8,21.6,-1.6,0,1.1,1.1,0.1,0.1,0.1,113.02,2.6,1.1,2.8,0,0
-0.1,2.5,11,-169,5,1,-59.05428938,0.1,762,-0.72,-0.71,-0.934,8617,0:05:51,12.9,2,356,177,,27,15:03:55,11:01:49,5/24/2022,32.2312024,-110.9079398,12SWA 08673 66066,1.1,1.7,340.4,3,8,22.8,-1.7,0,1,1,0.2,0.2,0.1,113.02,2.3,1.4,3,0,0
1.5,2.6,6,-174,-5,1,-65.09243954,0.1,762,-0.72,-0.72,-1.206,8617,0:05:52,14,3,352,178,,28,15:03:55,11:01:50,5/24/2022,32.2312148,-110.9079382,12SWA 08673 66068,1.1,1.7,354.6,3,8,23.9,-1.6,0.1,0.9,0.9,0.1,0.1,0.2,112.98,2.1,1.4,2.4,0,0
-0.4,2.7,359,179,353,1,-59.18903185,0.1,762,-0.7,-0.7,-0.939,8619.1,0:05:53,15.1,3,352,178,,28,15:03:55,11:01:51,5/24/2022,32.2312209,-110.9079382,12SWA 08673 66068,1.1,1.7,352.5,3,8,25.4,-1.5,0,1,1,0,0,0.1,112.96,1.9,1.1,2.3,0,0
-3.4,2.3,354,174,-5,1,-58.05200437,0.1,762.1,-0.67,-0.68,-0.898,8619.1,0:05:54,16.2,3,352,177,,29,15:03:55,11:01:52,5/24/2022,32.2312349,-110.9079393,12SWA 08673 66070,1.1,1.7,343.7,3,8,26.6,-1.7,0,1,1,0,0,0.1,112.95,1.8,1.2,2,0,0
-1.1,2.5,353,173,-1,0.9,-56.83770311,0.2,762.2,-0.58,-0.58,-0.857,8621.5,0:05:55,17.9,3,352,177,,29,15:03:55,11:01:53,5/24/2022,32.231249,-110.9079419,12SWA 08673 66072,1.1,1.7,346.5,3,8,27.7,-1.9,-0.1,1,1,0,0,0.1,112.93,1.8,1.3,2.6,0,0
0.9,3.6,354,174,1,1,-52.88313932,0.3,762.3,-0.45,-0.5,-0.74,8621.5,0:05:56,19.1,3,352,176,,29,15:03:55,11:01:54,5/24/2022,32.2312561,-110.9079423,12SWA 08673 66072,1.1,1.7,346.4,3,8,29.4,-2.1,-0.2,1,1,-0.1,0.1,0.1,112.91,1.4,0.9,2.1,0,0
0.5,1.8,351,171,-3,1,-48.41157988,0.3,762.3,-0.45,-0.46,-0.631,8623.7,0:05:57,20.2,3,352,176,,29,15:03:55,11:01:55,5/24/2022,32.2312707,-110.9079448,12SWA 08673 66074,1.1,1.7,333.6,3,8,30.5,-2.3,-0.2,1,1,-0.1,0.1,0.1,112.89,1.9,0.8,1.8,0,0
-3.5,0.7,349,169,-2,1,-47.35329687,0.3,762.3,-0.51,-0.51,-0.608,8623.7,0:05:58,21,3,352,176,,28,15:03:55,11:01:56,5/24/2022,32.2312746,-110.9079462,12SWA 08673 66074,1.1,1.7,334.8,3,8,31.4,-2.4,-0.2,1,1,-0.1,0.1,0.1,112.89,1.8,1.3,2.1,0,0
-2.8,4.7,345,165,-4,0.9,-50.85601359,0.2,762.1,-0.6,-0.55,-0.688,8625.7,0:05:59,22.8,3,352,175,,31,15:03:55,11:01:57,5/24/2022,32.2312889,-110.9079494,12SWA 08672 66076,1.1,1.7,342.1,3,8,32.6,-2.7,-0.1,1,1,-0.1,0.1,0.1,112.87,1.8,1.1,2.2,0,0
3.4,3.8,347,167,2,1,-56.15187555,0.2,762.1,-0.6,-0.62,-0.835,8628.1,0:06:00,24,3,352,175,,29,15:03:55,11:01:58,5/24/2022,32.2313023,-110.9079531,12SWA 08672 66077,1.1,1.7,337.8,3,8,33.7,-2.9,0,1,1,-0.1,0.1,0.1,112.84,1,1.3,2.2,0,0
1.5,3.3,350,170,3,1.1,-57.02049347,0.2,762.2,-0.56,-0.56,-0.863,8628.1,0:06:01,25.3,3,352,175,,28,15:03:55,11:01:59,5/24/2022,32.2313102,-110.9079557,12SWA 08672 66078,1.1,1.7,339.7,3,8,35.6,-3.4,-0.1,1.1,1.1,-0.1,0.1,0.1,112.82,0.9,1.1,2.4,0,0
-1.7,1.6,351,171,1,1.1,-54.66866866,0.2,762.2,-0.56,-0.53,-0.79,8628.1,0:06:02,25.8,3,352,175,,26,15:03:55,11:02:00,5/24/2022,32.2313234,-110.9079583,12SWA 08671 66080,1.1,1.7,343.6,3,8,36.7,-3.5,-0.1,1.1,1.1,-0.1,0.1,0.1,112.77,1.6,0.9,2.6,0,0
-1.5,1.9,350,170,-1,1.1,-55.24213139,0.2,762.2,-0.58,-0.59,-0.807,8631.2,0:06:03,27.7,3,352,174,,26,15:03:55,11:02:01,5/24/2022,32.231341,-110.9079615,12SWA 08671 66082,1.1,1.7,345.9,3,8,38,-3.7,-0.1,1,1,-0.1,0.1,0,112.71,1.6,1,2.1,0,0
-0.5,3.1,347,167,-3,0.9,-51.30022957,0.3,762.2,-0.47,-0.53,-0.699,8631.2,0:06:04,28.9,3,352,174,,28,15:03:55,11:02:02,5/24/2022,32.2313478,-110.9079633,12SWA 08671 66083,1.1,1.7,347.1,3,8,39.2,-3.9,-0.2,1,1,-0.1,0.1,0,112.69,2,0.9,2.1,0,0
-1.6,4.5,36,-144,-311,1.1,-51.30022957,0.3,762.3,-0.43,-0.53,-0.699,8633.6,0:06:05,29.8,3,352,175,,60,15:03:55,11:02:03,5/24/2022,32.2313574,-110.9079639,12SWA 08671 66084,1.1,1.7,340.3,3,8,40,-3.8,-0.3,0,0,0.4,0.4,0,112.64,1.1,0.7,1.2,0,0
-4.6,2.1,147,-33,111,2.7,-51.30022957,0.2,762.2,-0.56,-0.53,-0.699,8633.6,0:06:06,29.4,3,352,178,,30,15:03:55,11:02:04,5/24/2022,32.2313581,-110.9079477,12SWA 08672 66084,1.1,1.7,141.5,3,8,39.8,-2,-0.1,-2.3,2.3,1.1,1.1,0,112.57,3.2,2.4,4.4,0,0
-2.3,0.9,216,36,69,1.1,-48.13966015,0.1,762.1,-0.7,-0.67,-0.625,8635.9,0:06:07,27.9,3,352,178,,18,15:03:55,11:02:05,5/24/2022,32.2313482,-110.9079416,12SWA 08673 66083,1.1,1.7,152.7,3,8,38.3,-1.8,0,-1.4,1.4,-0.6,0.6,0.1,112.55,1.2,1.1,2,0,0
0.1,2.9,253,73,37,0.8,-64.365379,0,762,-0.72,-0.7,-1.167,8635.9,0:06:08,27.9,3,352,177,,27,15:03:55,11:02:06,5/24/2022,32.2313406,-110.907944,12SWA 08673 66082,1.1,1.7,161.7,3,8,38.2,-2.3,0.1,-0.2,0.2,-0.7,0.7,0.1,112.51,0.9,0.6,0.8,0,0
-0.3,2,298,118,45,0.9,-70.47270219,0,762,-0.78,-0.76,-1.579,8635.9,0:06:09,28.4,3,352,176,,26,15:03:55,11:02:07,5/24/2022,32.2313409,-110.9079482,12SWA 08672 66082,1.1,1.7,161.7,3,8,38.5,-2.7,0.1,0.4,0.4,-0.9,0.9,0.1,112.5,1.3,0.8,1.3,0,0
-2.7,1.7,337,157,39,1,-71.65669176,0,762,-0.78,-0.79,-1.689,8635.9,0:06:10,29.2,3,352,175,,25,15:03:55,11:02:08,5/24/2022,32.2313466,-110.9079564,12SWA 08672 66082,1.1,1.7,161.7,3,8,39.5,-3.3,0.1,1,1,-0.3,0.3,0.2,112.46,1.4,0.9,2.3,0,0
-0.7,2.7,336,156,-1,1,-67.22781783,0,762,-0.74,-0.74,-1.334,8638,0:06:11,29.9,3,352,175,,28,15:03:55,11:02:09,5/24/2022,32.2313502,-110.907959,12SWA 08671 66083,1.1,1.7,84.2,3,8,40.3,-3.4,0.1,0.9,0.9,-0.1,0.1,0.2,112.42,1.3,0.6,2.2,0,0
1.7,2,326,146,-10,1,-65.93584776,0,762,-0.73,-0.74,-1.254,8638,0:06:12,30.8,3,352,175,,28,15:03:55,11:02:10,5/24/2022,32.2313502,-110.907959,12SWA 08671 66083,1.1,1.7,84.2,3,8,41,-3.8,0.1,1,1,-0.3,0.3,0.1,112.42,1.9,0.9,2.6,0,0
0.7,2.5,332,152,6,1.1,-66.43619949,0,762,-0.74,-0.73,-1.284,8640.3,0:06:13,32.1,3,352,174,,28,15:03:55,11:02:11,5/24/2022,32.231363,-110.9079661,12SWA 08671 66084,1.1,1.7,332.2,3,8,41.8,-4.2,0.1,1,1,-0.2,0.2,0.1,112.39,1,0.8,1.6,0,0
-1.1,2.9,341,161,9,1.1,-51.38008436,0.1,762.1,-0.64,-0.72,-0.701,8640.3,0:06:14,32.6,4,6,174,,27,15:03:55,11:02:12,5/24/2022,32.2313735,-110.9079729,12SWA 08670 66085,1.1,1.7,332.7,3,8,42.8,-4.6,0,1.1,1.1,0,0,0.1,112.35,1.3,0.9,1.8,0,0
-3.5,1.7,358,178,17,1.1,-60.10330865,0.2,762.2,-0.56,-0.56,-0.974,8640.3,0:06:15,34.1,4,6,174,,15,15:03:55,11:02:13,5/24/2022,32.2313888,-110.9079767,12SWA 08670 66087,1.1,1.7,351,3,8,44.3,-4.8,-0.1,1,1,0.4,0.4,0,112.32,1.1,1.3,2.2,0,0
-5.6,2.8,98,-82,-260,2.3,-60.10330865,0.3,762.3,-0.49,-0.56,-0.974,8642.9,0:06:16,34.6,4,6,175,,51,15:03:55,11:02:14,5/24/2022,32.2313985,-110.9079716,12SWA 08670 66088,1.1,1.7,51.6,3,8,44.3,-4.8,-0.1,1,1,0.4,0.4,0,112.28,1.1,1.3,2.2,0,0
2.7,3.9,140,-40,42,2.7,-60.10330865,0.3,762.2,-0.55,-0.56,-0.974,8642.9,0:06:17,34.4,4,6,176,,54,15:03:55,11:02:15,5/24/2022,32.2313985,-110.9079716,12SWA 08670 66088,1.1,1.7,51.6,3,8,44.7,-3.5,-0.2,-1.5,1.5,1.8,1.8,0.1,112.28,2.8,2.2,3.1,0,0
-2.8,3.9,158,-22,18,4,-60.10330865,0,761.9,-0.8,-0.56,-0.974,8649.1,0:06:18,29.2,4,6,180,,60,15:03:55,11:02:16,5/24/2022,32.2313701,-110.907945,12SWA 08673 66085,1.1,1.7,155.2,3,8,44.7,-3.5,-0.2,-1.5,1.5,1.8,1.8,0.1,112.24,2.8,2.2,3.1,0,0
-2.7,3.7,169,-11,11,4.5,-60.10330865,0,762,-0.77,-0.56,-0.974,8652.9,0:06:19,25.5,4,6,180,,60,15:03:55,11:02:17,5/24/2022,32.2313295,-110.9079319,12SWA 08674 66081,1.1,1.7,168.4,3,8,35.8,-0.8,0.1,-4.6,4.6,0,0,0,112.21,2.7,2.5,4.3,0,0
2.3,3.8,186,6,17,4.4,-60.10330865,0.2,762.2,-0.56,-0.56,-0.974,8656.7,0:06:20,21.6,4,6,180,,52,15:03:55,11:02:18,5/24/2022,32.2313071,-110.9079301,12SWA 08674 66078,1.1,1.7,177.6,3,8,32,-0.9,-0.1,-4.5,4.5,-0.8,0.8,0.1,112.19,3.4,3.6,8.8,0,0
5.3,3,169,-11,-17,3.8,-60.10330865,0.3,762.2,-0.5,-0.56,-0.974,8660.3,0:06:21,18.1,4,6,179,,52,15:03:55,11:02:19,5/24/2022,32.2312574,-110.9079343,12SWA 08674 66073,1.1,1.7,180.3,3,8,28.4,-1.3,-0.1,-3.9,3.9,-0.2,0.2,0,112.15,5.1,3.5,5.9,0,0
0.2,5.1,175,-5,6,3.5,-60.10330865,0.3,762.3,-0.44,-0.56,-0.974,8663.5,0:06:22,14.9,4,6,180,,51,15:03:55,11:02:20,5/24/2022,32.2312379,-110.9079308,12SWA 08674 66070,1.1,1.7,172.7,3,8,25.3,-0.9,-0.2,-3.5,3.5,-0.2,0.2,-0.1,112.05,4.1,3,6.2,0,0
0.3,2.8,181,1,6,3.5,-60.10330865,0.4,762.3,-0.42,-0.56,-0.974,8666.6,0:06:23,10.2,4,6,180,,49,15:03:55,11:02:21,5/24/2022,32.2312006,-110.9079271,12SWA 08674 66066,1.1,1.7,182.8,3,8,20.6,-1,-0.3,-3.5,3.5,-0.8,0.8,0.1,112.03,3.6,2.3,7.4,0,0
-2.8,4.5,177,-3,-4,3.2,-60.10330865,0.5,762.4,-0.34,-0.56,-0.974,8669.7,0:06:24,7.3,4,6,179,,37,15:03:55,11:02:22,5/24/2022,32.2311644,-110.9079286,12SWA 08674 66062,1.1,1.7,179,3,8,19.1,-1.1,-0.3,-3.4,3.4,-0.7,0.7,0,111.96,3.4,3.1,4.2,0,0
-0.1,0.6,161,-19,-16,2.2,-60.10330865,0.4,762.4,-0.38,-0.56,-0.974,8672.4,0:06:25,4.9,4,6,184,,25,15:03:55,11:02:23,5/24/2022,32.2311472,-110.9079274,12SWA 08674 66060,1.1,1.7,175.7,3,8,15.3,-0.6,-0.3,-2.3,2.3,0.3,0.3,0,111.92,2.1,3.3,4.2,0,0
0.1,4.4,161,-19,0,1.5,-60.10330865,0.3,762.3,-0.42,-0.56,-0.974,8674.7,0:06:26,3.1,4,6,198,,43,15:03:55,11:02:24,5/24/2022,32.2311158,-110.9079188,12SWA 08675 66057,1.1,1.7,164.4,3,8,13.3,0,-0.2,-1.7,1.7,0.1,0.1,0,111.83,2.7,2.7,3.9,0,0
-1,1.8,131,-49,-30,0.7,-60.10330865,0.4,762.3,-0.41,-0.56,-0.974,8677.1,0:06:27,2.6,4,6,240,,0,15:03:55,11:02:25,5/24/2022,32.2311009,-110.907906,12SWA 08676 66055,1.1,1.7,146.1,3,8,12,0.8,-0.3,-0.8,0.8,1,1,-0.1,111.7,2.3,1.8,3.2,0,0
-2.1,3,134,-46,3,0.4,-60.10330865,0.4,762.3,-0.42,-0.56,-0.974,8677.1,0:06:28,2.8,4,6,245,,0,15:03:55,11:02:26,5/24/2022,32.2310978,-110.9079023,12SWA 08677 66055,1.1,1.7,146.1,3,8,11.5,1.6,-0.2,0.2,0.2,-0.3,0.3,0,111.65,0.9,0.6,1,0,0
-1.8,3,134,-46,0,0.2,-60.10330865,0.4,762.3,-0.41,-0.56,-0.974,8677.1,0:06:29,2.8,4,6,247,,0,15:03:55,11:02:27,5/24/2022,32.2310969,-110.9079032,12SWA 08677 66055,1.1,1.7,146.1,3,8,11.5,1.6,-0.2,0.1,0.1,-0.2,0.2,0,111.61,0,0,0,0,0
-1.8,3.1,135,-45,1,0.2,-60.10330865,0.4,762.4,-0.41,-0.56,-0.974,8677.1,0:06:30,2.7,4,6,247,,0,15:03:55,11:02:28,5/24/2022,32.2310992,-110.9079047,12SWA 08677 66055,1.6,2.8,146.1,3,7,11.4,1.5,-0.3,0,0,-0.2,0.2,0,111.56,0,0,0,0,0
-1.8,3.1,135,-45,0,0.2,-60.10330865,0.3,762.3,-0.49,-0.56,-0.974,8677.1,0:06:31,2.7,4,6,246,,0,15:03:55,11:02:29,5/24/2022,32.2310992,-110.9079044,12SWA 08677 66055,1.6,2.8,146.1,3,7,11.5,1.5,-0.2,0,0,-0.2,0.2,0,111.54,0,0,0,0,0
-1.7,3.2,135,-45,0,0.3,-39.40066066,0.3,762.3,-0.44,-0.46,-0.46,8677.1,0:06:32,2.7,4,6,248,,0,15:03:55,11:02:30,5/24/2022,32.2310979,-110.9079039,12SWA 08677 66055,1.6,2.8,146.1,3,7,11.4,1.5,-0.2,-0.1,0.1,-0.2,0.2,0,111.51,0,0,0,0,0
-1.7,3.2,136,-44,1,0.3,-36.86989765,0.3,762.3,-0.42,-0.42,-0.42,8677.1,0:06:33,2.6,4,6,251,,0,15:03:55,11:02:31,5/24/2022,32.2310957,-110.9079038,12SWA 08677 66055,1.6,2.8,146.1,3,7,11.2,1.5,-0.2,-0.2,0.2,-0.2,0.2,0,111.51,0,0,0,0,0
-1.7,3.2,136,-44,0,0.4,-35.53767779,0.4,762.3,-0.42,-0.4,-0.4,8677.1,0:06:34,2.5,4,6,256,,0,15:03:55,11:02:32,5/24/2022,32.2310939,-110.9079051,12SWA 08676 66054,1.6,2.8,146.1,3,7,11,1.5,-0.2,-0.2,0.2,-0.3,0.3,0,111.47,0,0,0,0,0
-3.3,2.1,145,-35,9,1,-6.115503566,0.3,762.3,-0.49,-0.49,-0.06,8677.1,0:06:35,2.8,4,6,261,,32,15:03:55,11:02:33,5/24/2022,32.23109,-110.9079018,12SWA 08677 66054,1.7,3.4,146.1,3,6,10.8,1.8,-0.2,-0.7,0.7,0.2,0.2,0,111.47,1.3,0.7,0.9,0,0
-3.3,4.4,236,56,91,1.1,-27.29696596,0.3,762.3,-0.45,-0.47,-0.289,8679.2,0:06:36,2.4,4,6,293,,28,15:03:55,11:02:34,5/24/2022,32.2310761,-110.9079057,12SWA 08676 66052,3.6,4.8,194.3,3,4,9.4,1.3,-0.2,-0.3,0.3,-1.1,1.1,0.1,111.45,1.1,1.2,1.5,0,0
-1.3,1.3,308,128,72,1.1,-70.05267911,0.3,762.3,-0.49,-0.46,-1.543,8679.2,0:06:37,1.6,4,6,297,,26,15:03:55,11:02:35,5/24/2022,32.2310726,-110.9079114,12SWA 08676 66052,3.6,4.8,194.3,3,4,9.7,0.4,-0.2,0.9,0.9,-0.7,0.7,-0.1,111.43,2,1.2,3,0,0
-1.2,1.6,5,-175,-303,1.1,-70.46126453,0.4,762.4,-0.4,-0.4,-1.578,8679.2,0:06:38,1.2,4,6,267,,24,15:03:55,11:02:36,5/24/2022,32.2310738,-110.9079195,12SWA 08675 66052,3.6,4.8,194.3,3,4,10.4,0.3,-0.3,1.1,1.1,0.2,0.2,-0.1,111.43,1.4,0.8,2.6,0,0
2.5,1.5,2,-178,-3,1,-65.53851392,0.5,762.4,-0.34,-0.33,-1.231,8679.2,0:06:39,1.7,4,6,244,,25,15:03:55,11:02:37,5/24/2022,32.2310772,-110.9079174,12SWA 08675 66053,3.6,4.8,194.3,3,4,11.1,0.6,-0.3,1,1,0.4,0.4,0,111.43,1.5,0.5,1.7,0,0
2.7,1.8,346,166,344,1,-57.26144915,0.4,762.4,-0.45,-0.41,-0.871,8679.2,0:06:40,2.3,4,6,232,,29,15:03:55,11:02:38,5/24/2022,32.2310891,-110.9079145,12SWA 08676 66054,3.6,4.8,194.3,3,4,11.8,0.9,-0.3,1,1,0.3,0.3,0,111.42,1.3,0.6,1.6,0,0
-0.4,1.6,332,152,-14,1.2,-57.17145821,0.3,762.2,-0.52,-0.49,-0.868,8681.2,0:06:41,2.9,4,6,220,,29,15:03:55,11:02:39,5/24/2022,32.2310917,-110.9079158,12SWA 08675 66054,1.5,2.2,194.3,3,5,12.6,0.9,-0.1,1.1,1.1,0.1,0.1,0,111.42,2.6,1.2,2.3,0,0
-1.8,3.1,338,158,6,1.2,-65.95284795,0.3,762.3,-0.46,-0.47,-1.255,8681.2,0:06:42,2.7,4,6,209,,31,15:03:55,11:02:40,5/24/2022,32.2311011,-110.9079225,12SWA 08675 66055,1.3,1.7,194.3,3,7,12.7,0.4,-0.2,1.1,1.1,0.2,0.2,0,111.45,1.8,1.1,3.6,0,0
1.1,3.4,346,166,8,1.2,-71.32679492,0.4,762.3,-0.41,-0.42,-1.657,8681.2,0:06:43,3.1,4,6,198,,31,15:03:55,11:02:41,5/24/2022,32.2311133,-110.9079261,12SWA 08674 66057,1.3,1.7,302.6,3,7,13.3,0,-0.2,1.2,1.2,0.5,0.5,0,111.47,1.5,1.4,2.6,0,0
4.2,3.7,349,169,3,1.2,-71.16818556,0.3,762.3,-0.54,-0.42,-1.642,8683.5,0:06:44,3.8,4,6,193,,33,15:03:55,11:02:42,5/24/2022,32.2311219,-110.9079269,12SWA 08674 66057,1.3,1.7,302.6,3,7,14.1,-0.1,-0.2,1.1,1.1,0.5,0.5,0,111.45,1.4,1.3,2.6,0,0
2.5,2.2,337,157,-12,1.2,-69.36376775,0.2,762.1,-0.59,-0.58,-1.487,8683.5,0:06:45,5.7,4,6,190,,33,15:03:55,11:02:43,5/24/2022,32.2311338,-110.9079292,12SWA 08674 66059,1.3,1.7,302.6,3,7,16,0.1,-0.1,1.2,1.2,0.3,0.3,0.1,111.47,1.9,1.8,2.2,0,0
-4,3.2,339,159,2,1.2,-68.55972277,0.2,762.1,-0.6,-0.6,-1.426,8686,0:06:46,7,4,6,187,,33,15:03:55,11:02:44,5/24/2022,32.2311438,-110.9079311,12SWA 08674 66060,1.3,1.7,327.4,3,7,17.3,-0.1,-0.1,1.2,1.2,0.5,0.5,0,111.45,2.5,1.4,2.7,0,0
-2,4.4,346,166,7,1.2,-71.18948335,0.3,762.2,-0.5,-0.52,-1.644,8688,0:06:47,8.2,4,6,182,,33,15:03:55,11:02:45,5/24/2022,32.2311717,-110.9079388,12SWA 08673 66063,1.3,1.7,343.3,3,7,18.5,-0.6,-0.2,1.2,1.2,0.5,0.5,0,111.43,1.5,1.4,2.1,0,0
-2.5,4.7,356,176,10,1.2,-73.30357128,0.3,762.3,-0.45,-0.45,-1.867,8688,0:06:48,9.7,4,6,180,,31,15:03:55,11:02:46,5/24/2022,32.23119,-110.9079412,12SWA 08673 66065,1.3,1.7,349.7,3,7,20.1,-1,-0.2,1.2,1.2,0.6,0.6,0,111.4,1.1,1.6,2,0,0
-0.3,1.8,5,-175,-351,1.2,-73.68345615,0.3,762.3,-0.43,-0.43,-1.913,8690.3,0:06:49,11.1,4,6,179,,29,15:03:55,11:02:47,5/24/2022,32.2311993,-110.907941,12SWA 08673 66066,1.3,1.7,343.7,3,7,21.5,-1.2,-0.2,1,1,0.6,0.6,-0.1,111.36,1.5,1.1,2.4,0,0
0.8,2.3,4,-176,-1,1.1,-69.93291292,0.3,762.3,-0.44,-0.44,-1.533,8692.9,0:06:50,13,4,6,180,,31,15:03:55,11:02:48,5/24/2022,32.2312149,-110.9079375,12SWA 08673 66068,1.3,1.7,356.4,3,7,23.4,-1,-0.2,1,1,0.5,0.5,0,111.33,1.6,1.2,2.1,0,0
-0.9,1.9,359,179,355,1.1,-63.39396472,0.4,762.4,-0.37,-0.37,-1.118,8692.9,0:06:51,14.2,4,6,180,,30,15:03:55,11:02:49,5/24/2022,32.2312203,-110.9079372,12SWA 08673 66068,1.1,1.7,356.4,3,8,24.6,-0.9,-0.3,1,1,0.3,0.3,-0.1,111.29,1.8,1,2.5,0,0
-1.3,2.4,356,176,-3,0.9,-60.17938911,0.5,762.5,-0.27,-0.27,-0.977,8695.3,0:06:52,15.4,4,6,180,,32,15:03:55,11:02:50,5/24/2022,32.2312318,-110.9079393,12SWA 08673 66070,1.5,2,356.4,3,6,25.8,-0.9,-0.4,1.1,1.1,0.2,0.2,0.1,111.24,1.8,1.4,3.6,0,0
2.6,2.3,346,166,-10,0.9,-49.38425679,0.5,762.5,-0.25,-0.27,-0.653,8695.3,0:06:53,16.4,4,6,181,,35,15:03:55,11:02:51,5/24/2022,32.23125,-110.9079429,12SWA 08673 66072,1.5,2.1,356.4,2,3,26.8,-0.8,-0.4,0.9,0.9,0.2,0.2,-0.2,111.22,1.3,1.1,2.4,0,0
-3.1,5.7,344,164,-2,0.9,-40.06623251,0.5,762.5,-0.23,-0.26,-0.471,8695.3,0:06:54,17.3,4,6,181,,38,15:03:55,11:02:52,5/24/2022,32.2312542,-110.9079439,12SWA 08673 66072,19.5,22,356.4,3,4,27.7,-0.7,-0.4,1,1,0,0,-0.1,111.18,1.9,1.1,2.2,1,0
-1.2,2.7,342,162,-2,1,-29.89890184,0.6,762.6,-0.16,-0.2,-0.322,8697.6,0:06:55,18.5,4,6,181,,42,15:03:55,11:02:53,5/24/2022,32.2312589,-110.9079524,12SWA 08672 66073,19.4,21.9,356.4,3,4,28.9,-0.7,-0.5,0.8,0.8,0,0,0,111.16,1.2,1,1.9,1,0
0.8,2.4,339,159,-3,1,-20.37643521,0.7,762.6,-0.12,-0.12,-0.208,8697.6,0:06:56,19.4,4,6,180,,40,15:03:55,11:02:54,5/24/2022,32.2312589,-110.9079524,12SWA 08672 66073,19.4,21.9,356.4,3,4,29.8,-0.8,-0.5,1.1,1.1,-0.1,0.1,0,111.16,1.7,1.1,2,1,0
